tournament,tier,round,start_date,host_country,player_a,player_a_nat,player_b,player_b_nat,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Shesar Hiren Rhustavito,Indonesia,Soong Joo Ven,Malaysia,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1489.2,1500.0,-10.8,0.35,0.5,0.5,-1,0,0,0
Swiss Open 2021,300,Final,2021-03-02,Switzerland,Viktor Axelsen,Denmark,Kunlavut Vitidsarn,Thailand,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1545.58,1547.15,-1.57,0.8799,0.8799,0.5,4,4,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Toma Junior Popov,France,Brian Yang,Canada,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Srikanth Kidambi,India,Sameer Verma,India,1,1,0.5,0,0,100,0.5,0,0,100,0.5,1488.0,1500.0,-12.0,0.35,0.5,0.5,-1,0,0,0
Swiss Open 2021,300,Second Round,2021-03-02,Switzerland,Srikanth Kidambi,India,Thomas Rouxel,France,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.41,1500.0,0.41,0.545,0.5,0.5,1,0,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Thomas Rouxel,France,Xiaodong Sheng,Canada,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1488.01,1500.0,-11.99,0.35,0.5,0.5,-1,0,0,0
Swiss Open 2021,300,Quarter-finals,2021-03-02,Switzerland,Srikanth Kidambi,India,Kantaphon Wangcharoen,Thailand,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1512.4,1524.0,-11.6,0.6815,0.755,0.5,2,2,0,0
Swiss Open 2021,300,Second Round,2021-03-02,Switzerland,Shesar Hiren Rhustavito,Indonesia,Brian Yang,Canada,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1501.57,1512.0,-10.43,0.545,0.65,0.5,1,1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Mark Caljouw,Netherlands,Khosit Phetpradab,Thailand,1,0,0.5,0,0,15,0.5,0,0,15,0.5,1500.0,1501.2,-1.2,0.455,0.545,0.5,-1,1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Kanta Tsuneyama,Japan,Toby Penty,England,1,0,0.5,0,0,100,0.5,1,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
All England Open 2021,1000,Second Round,2021-03-17,England,Kanta Tsuneyama,Japan,Rasmus Gemke,Denmark,1,0,0.5,0,0,100,0.5,0,0,15,0.5,1520.0,1499.57,20.43,0.65,0.455,0.5,1,-1,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Kenta Nishimoto,Japan,Rasmus Gemke,Denmark,0,0,0.5,0,0,100,0.5,0,0,15,0.5,1500.0,1480.75,19.25,0.5,0.3185,0.5,0,-2,0,0
All England Open 2021,1000,Quarter-finals,2021-03-17,England,Kanta Tsuneyama,Japan,Anders Antonsen,Denmark,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1538.83,1500.0,38.83,0.755,0.5,0.5,2,0,0,0
All England Open 2021,1000,First Round,2021-03-17,England,Ygor Coelho de Oliveira,Brazil,Sameer Verma,India,0,0,0.5,0,0,15,0.0,0,0,15,0.0,1488.43,1487.59,0.84,0.35,0.35,0.5,-1,-1,0,0
All England Open 2021,1000,Second Round,2021-03-17,England,Sameer Verma,India,Anders Antonsen,Denmark,0,0,0.5,0,0,15,0.0,0,0,100,0.5,1507.63,1522.23,-14.59,0.545,0.65,0.5,1,1,0,0
