tier,round,start_date,player_a,player_b,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
300,Second Round,2021-03-02,Shesar Hiren Rhustavito,Brian Yang,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1501.57,1512.0,-10.43,0.545,0.65,0.5,1,1,0,0
1000,First Round,2021-03-17,Mark Caljouw,Khosit Phetpradab,1,0,0.5,0,0,15,0.5,0,0,15,0.5,1500.0,1501.2,-1.2,0.455,0.545,0.5,-1,1,0,0
1000,First Round,2021-03-17,Kanta Tsuneyama,Toby Penty,1,0,0.5,0,0,100,0.5,1,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
1000,Second Round,2021-03-17,Kanta Tsuneyama,Rasmus Gemke,1,0,0.5,0,0,100,0.5,0,0,15,0.5,1520.0,1499.57,20.43,0.65,0.455,0.5,1,-1,0,0
1000,First Round,2021-03-17,Kenta Nishimoto,Rasmus Gemke,0,0,0.5,0,0,100,0.5,0,0,15,0.5,1500.0,1480.75,19.25,0.5,0.3185,0.5,0,-2,0,0
1000,Quarter-finals,2021-03-17,Kanta Tsuneyama,Anders Antonsen,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1538.83,1500.0,38.83,0.755,0.5,0.5,2,0,0,0
1000,First Round,2021-03-17,Ygor Coelho de Oliveira,Sameer Verma,0,0,0.5,0,0,15,0.0,0,0,15,0.0,1488.43,1487.59,0.84,0.35,0.35,0.5,-1,-1,0,0
1000,Second Round,2021-03-17,Sameer Verma,Anders Antonsen,0,0,0.5,0,0,15,0.0,0,0,100,0.5,1507.63,1522.23,-14.59,0.545,0.65,0.5,1,1,0,0
1000,Second Round,2021-03-17,Sitthikom Thammasin,Jonatan Christie,1,0,0.5,0,0,15,0.0,0,0,100,0.5,1488.0,1500.0,-12.0,0.35,0.5,0.5,-1,0,0,0
1000,First Round,2021-03-17,Pablo Abián,Sitthikom Thammasin,0,0,0.5,0,0,15,0.5,0,0,15,0.0,1500.45,1508.69,-8.24,0.545,0.545,0.5,1,1,0,0
1000,First Round,2021-03-17,Kunlavut Vitidsarn,Jonatan Christie,0,0,0.5,0,0,15,0.8,0,0,100,0.5,1535.09,1479.31,55.78,0.616,0.35,0.5,-1,-1,0,0
